InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
69_MOUNTMEND_8412,69,8412,Tequila Ocho Plata Fresno,750mL,105,ALTAMAR BRANDS LLC         ,8124,21-12-2023,02-01-2024,04-01-2024,16-02-2024,35.71,6,214.26,1
30_CULCHETH_5255,30,5255,TGI Fridays Ultimte Mudslide,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22-12-2023,01-01-2024,07-01-2024,21-02-2024,9.35,4,37.4,1
34_PITMERDEN_5215,34,5215,TGI Fridays Long Island Iced,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22-12-2023,02-01-2024,07-01-2024,21-02-2024,9.41,5,47.05,1
1_HARDERSFIELD_5255,1,5255,TGI Fridays Ultimte Mudslide,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22-12-2023,01-01-2024,07-01-2024,21-02-2024,9.35,6,56.1,1
76_DONCASTER_2034,76,2034,Glendalough Double Barrel,750mL,388,ATLANTIC IMPORTING COMPANY ,8169,24-12-2023,02-01-2024,09-01-2024,16-02-2024,21.32,5,106.6,1
5_SUTTON_3348,5,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,22.38,6,134.28,1
1_HARDERSFIELD_8358,1,8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,12,173.88,1
30_CULCHETH_4903,30,4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,2.87,48,137.76,1
34_PITMERDEN_3782,34,3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.89,5,94.45,1
1_HARDERSFIELD_4233,1,4233,Castillo Silver Label Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.87,23,181.01,1
1_HARDERSFIELD_3830,1,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,18.45,6,110.7,1
78_EASTHAVEN_2628,78,2628,Dewars Special RSV 12-Yr,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,23.43,12,281.16,1
30_CULCHETH_4196,30,4196,Bacardi Dragon Berry Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.46,12,89.52,1
22_SHARNWICK_3830,22,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,18.45,12,221.4,1
38_GOULCREST_8358,38,8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,12,173.88,1
67_EANVERNESS_3961,67,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.17,6,109.02,1
22_SHARNWICK_3139,22,3139,Grey Goose Le Melon,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.64,12,211.68,1
78_EASTHAVEN_3016,78,3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.59,35,510.65,1
69_MOUNTMEND_7221,69,7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,6.86,4,27.44,2
